name,category,location,url,creation_date,employee_number,turnover,presentation
Whaller,"AdTech  / MarTech, Application mobile, SaaS / Cloud Services",Suresnes,"
      
        
      
    whaller.com",2013,10,35 ans,"Whaller c'est l'idée que l'on puisse bénéficier d'un espace de confiance et de tranquillité sur Internet, avec la même puissance technologique que les Facebook, twitter, etc. Whaller est une plateforme où chacun, selon son envie et son besoin, peut créer ses propres réseaux sociaux privatifs. Et plus que cela, chacun peut créer autant de ""sphères” qu'il souhaite et accéder ainsi, avec un seul et même compte, à tous ses réseaux, tous ses sujets, de la famille au monde de l'entreprise en passant par les écoles, les associations, les clubs, etc. Whaller est aujourd'hui utilisé par plus de 300 000 utilisateurs, et héberge les réseaux d'environ 20 000 organismes. Ils croient qu'il est temps de bâtir des nouveaux modèles sur Internet, plus respectueux des personnes et de leurs données, bannissant toute exploitation des messages et des profils, donnant à chacun un outil pour ce qu'il doit faire, et seulement cela : rendre service.Vouloir s'impliquer sur le long terme dans un projet qui a du sens, et s'insérer dans un projet d'entreprise : voici les caractéristiques recherchées ! C'est aussi être curieux, passionné, mais pas que par le code. C'est encore avoir de l'initiative, amener des innovations, tout en rejoignant un projet bâti par plusieurs personnes.Un séminaire annuel d'une semaine, direction la Bretagne."
Gwapit,"Application mobile, Intelligence artificielle / Machine Learning",Paris,"
      
        
      
    gwapit.com",2016,7,28 ans,"Des études récentes ont démontré qu'une personne met 1 min 30s à reprendre sa tâche lorsqu'elle a été interrompue. La centaine d'interviews que nous avons effectuée auprès de managers démontrent que vous l'êtes en moyenne 5 à 10 fois par heure.Co-fondée il y a 2 ans par un HEC et un co-fondateur de VirtualDJ, Gwapit est une application qui permet de centraliser, prioriser et d’agir sur les notifications.Leur philosophie est de vous faire passer moins de temps sur vos notifications et de réduire vos interruptions.Ils lancent leur 2ème beta, signons nos premiers contrats et finalisons une levée. Les enjeux sont énormes et ils recherchent leur Dream Team pour les relever à leurs côtés.En conséquent, la famille Gwapit cherche à grandir. Ils sont en quête permanente d'entrepreneurs souhaitant prendre des postes à responsabilité, autonomes, rigoureux et capables de monter en compétence rapidement.Ils seraient également ravis d'être rejoints par des kite-surfeurs, basketteurs, runners, gamers, blagueurs, etc. Des vrais Gwapeurs quoi.""Chaque vendredi matin, une personne de l'équipe est responsable du petit déjeuner. Ils adorent bien manger, alors épatez les !Ils aiment également boire. Chaque mois est organisé le fameux ""Gwapero"" avec du rhum importé de la Martinique.Il vous est par ailleurs recommandé de vous procurer un NERF avant votre arrivée, cela pourra vous être utile."
Les Fils à Maman,Restauration,Paris,"
      
        
      
    www.lesfilsamaman.com",2008,11,,"Les Fils à Maman sont des restaurants en plein cœur de Paris, en province et à l’étranger, des lieux conviviaux proposant une cuisine simple, savoureuse et traditionnelle.En bref… Des restaurants de cuisine française gourmande faite de produits frais. L’histoire de trentenaires, amis, amoureux de la vie. Une ambiance chaleureuse où les clients font «comme à la maison». Une décoration atypique qui nous plonge en enfance. Le partage d’une passion : ce qui est Bon !Depuis un an, l’équipe des Fils à Maman développe également des restaurants italiens « Le Clan des Mamma ». Chaque restaurant porte le prénom d’une Mamma italienne et la fréquence d’ouverture va s’accélérer début 2019 avec une ouverture par mois.Aujourd’hui, les Fils à Maman fleurissent en France et ont besoin de monde ! Ils recherchent des profils atypiques, des passionnés de cuisine ou de restauration qui souhaitent rejoindre une équipe jeune et ambitieuse.Autonomie, esprit entrepreneurial et polyvalence sont des qualités appréciées pour les postes de directeurs de restaurant ainsi que dans les fonctions support au siège.Pour être un vrai Fils à Maman (ou Fille à Papa ;)) il faut :Être fan de cordons bleus et de tiramisu KinderAvoir connu la Game BoySuivre tes collègues au Bar des Fils (pour une bière ou un babyfoot !)Manger des kilos de bonbons au bureau"
STAFFMATCH,Recrutement,"Clichy, Bordeaux, Le Mans, Lille, Lyon, Marseille, Nantes, Nice, Orléans, Paris, Toulouse","
      
        
      
    staffmatch.com",2015,100,27 ans,"Créée en avril 2015, STAFFMATCH se lance le pari de révolutionner le marché du travail temporaire !La vision : repenser le modèle du travail temporaire pour offrir aux entreprises et collaborateurs une expérience inédite, qui répond aux attentes des nouvelles générations.
La mission : mettre à disposition des technologies performantes au service de l’humain, qu’il soit client ou intérimaire.
Les secteurs cibles : hôtellerie, restauration, événementiel, vente, retail, grande distribution, transport, logistique.
Les implantations : Paris, Lyon, Lille, Orléans, Nice, Le Mans, Bordeaux et encore de nombreuses villes à l’horizon 2018.L'ADN : Digitalisation, Réactivité, Flexibilité, Sécurité, Bonne Humeur et AfterworksQuelques chiffres : plus de 2.000 clients et 30.000 intérimaires leur font confiance...Chez Staffmatch, ils recherchent des profils atypiques et complémentaires, à l'image des 3 fondateurs ! Au delà d'une ligne sur le CV, ils cherchent des personnalités dynamiques, qui n'ont pas peur de partager leurs connaissances sur leur spécialité, leurs idées et qui sont animées par le challenge et le développement d'une entreprise. Leur hantise : se reposer sur leurs lauriers ! Des esprits entrepreneurs qui se retrouvent dans les mêmes valeurs : ambition, humilité, esprit d'équipe, performance. Cette quête de 'soft skills' et de différences constructives les mène à une formation continue et à faire grandir leur entreprise et leurs collaborateurs simultanément. Pour être accepté dans la jungle de Staffmatch, il est recommandé d'avoir une appétence particulière pour les viennoiseries ou toutes autres gourmandises, les bonnes bières fraiches, le thé vert, le foot et/ou le Dumbal ! Le petit plus : petits-déjeuners & Afterworks organisés chaque semaine !"
Bonial,"Application mobile, Grande consommation, Marketing / Communication",Paris,"
      
        
      
    www.bonial.fr",2011,40,,"N°1 du drive-to-store en Europe, Bonial reconnecte chaque jour les magasins avec les consommateurs aux alentours.En combinant un réseau d’audience contextuelle de 5M de consommateurs, une technologie programmatique dédiée au retail et une data first-party exclusive, Bonial permet aux enseignes de diffuser à 360° leurs offres locales.Leur équipe parisienne est resserrée, soudée, et partage les mêmes valeurs :ils sont curieux du digital et de la grande distribution, ils ont toujours soif d’en apprendre davantage ;ils sont débrouillards, autonomes, ils ont une grande capacité d’adaptation aux environnements mouvants du retail et du digital ;ils sont solidaires, ils ont confiance les uns envers les autres !Vous l’avez compris : plus qu’un diplôme, c’est votre personnalité et votre énergie qui les intéressent en premier lieu.Si les bureaux sont au coeur du 10e à Paris, l’ADN de la société reste marqué par l’amitié franco-allemande !quand ils ne sont pas fourrés chez eux en rdv ou en séminaire, ils discutent tous les jours avec leurs équipes à Berlinils aiment la bière et les curry wursts
Ils ont une grosse culture du déjeuner !une cuisine très équipée et accueillanteune terrasse baignée de soleil toute la journée, et remplie de tables et de chaises2 volontaires chaque mois pour organiser un déjeuner à thèmeDe nombreux sportifs dans les rangs !Des tennismen & squasheurs (attention à la compétition interne)des voileuxdes kiteursdes coureursdes cyclisteset même un gamer…"
Citadium,Mode,"Paris, Bordeaux, Lyon, Marseille, Toulon","
      
        
      
    www.citadium.com",2000,300,,"Fondé en 2000, Citadium est l'enseigne de mode urbaine du groupe Printemps. Magasin de référence des 15-25 ans, il propose le meilleur du streetwear, de la sneaker, de l'accessoire et du gadget avec plus de 250 marques emblématiques et émergentes dont la plupart sont exclusives. Plus qu'un magasin, c'est un concept unique, un véritable lieu d'échanges et de découvertes qui vibre au rythme des happenings artistiques et musicaux.De véritables ambassadeurs ! Citadium aime les profils passionnés, curieux et créatifs à la recherche d'une expérience enrichissante et unique.Affiner votre culture StreetPeaufiner votre playlistSoyez digital native"
Ikimo9.com,Immobilier particulier,La Ciotat,"
      
        
      
    www.ikimo9.com",2014,10,35 ans,"Ikimo9 est le 1 er comparateur de logements neufs. C'est une marketplace qui simplifie la recherche et l'achat de son logement neuf, pour habiter ou investir. Ikimo9 est le seul site à donner tous les détails des logements (plan, prix, brochure..) sans donner ses coordonnées. Ikimo9 est contre le harcèlement, sur ikimo9 c'est le client qui décide, quand il souhaite prendre rdv avec le promoteur, et quand il veut être appelé!Une fois que l'utilisateur a pris rendez-vous en ligne directement avec le promoteur, s'il achète, ikimo9 lui offre des bons cadeaux.Service 100% gratuit, Ikimo9 accompagne ses clients tout au long de leur projet immobilier.Ikimo9 est une startup qui a l'objectif d’être incontournable dans la recherche et l'achat de son logement neuf, et la concurrence est rude ! Alors pour faire partie de l’équipe il ne faut pas avoir peur des défis, ne jamais dire ""impossible"" et avoir la positive attitude: niaque + honnêteté + positivismeIl faut savoir qu'à chaque bonne nouvelle dans l'entreprise... toute l'équipe danse la Samba ☺. Toute l'équipe est plutôt sportive, la mer n'est pas loin et il fait beau toute l'année !L’équipe étant dispersée sur plusieurs zones, ils font une réunion d’équipe tous les mois, une bonne occasion pour se retrouver."
unknowns,"Design, Digital, Stratégie",Paris,"
      
        
      
    www.unknowns.fr",2014,20,,"unknowns est un studio d’innovation destiné à accompagner les grandes entreprises dans l’identification de nouvelles opportunités de business.Ils repartent d’une compréhension fine des besoins des personnes - grâce aux sciences sociales - pour concevoir des services ou des expériences, les prototyper et les tester.Ils constituent des équipes pluridisciplinaires (sociologues, designers, ingénieurs et business analysts) pour résoudre des problèmes et inventer des solutions combinant valeur d’usage et valeur business.Aujourd’hui ils accompagnent  des entreprises comme Intermarché, Renault, Roche, Matmut, SNCF,  La Poste et d’autres.Ils cherchent avant tout des convictions et du caractère. Des experts : génies des sciences sociales ou de la data, stars des parcours utilisateurs, gurus du product management, champions de l'accompagnement client.Des passionnés de l’évolution rapide du monde par la technologie mais qui s'interrogent sur l’avenir de l’humanité face aux algorithmes.Des exigeants avec les autres comme avec eux mêmes.Des bons vivants qui aiment rire, boire et bien manger.Voyager : sxsw, web summit, ces, retail big show...
Se régaler : lefooding.com for ever
Parler fort : de foot, de gauche, des avions, de droite, des américains, de ce dernier film vraiment bien, des trains, de ce roman vraiment nul..."
Le Fooding,"Edition, Presse écrite, Restauration",Paris,"
      
        
      
    www.lefooding.com",2000,11,,"Le Bureau du Fooding a plusieurs activités : Un guide de restaurants, de chambres de style et de bars d’auteur créé en 2000 et devenu le média food de référence pour les 25-45 ans, qui défend une gastronomie ouverte, moderne, authentique et animée par un appétit de nouveauté. Le guide Fooding se décline en guide papier annuel, sur lefooding.com et les applications mobiles Fooding (iOS et Android)Une agence de conseil et de production d'événements gastronomiques et festifs invitant les participants à éprouver le ""goût de l'époque"", reconnus par Time Magazine comme les « coolest food events known to man ». Le bureau du Fooding cherche des collaborateurs passionnés, impliqués, créatifs et autonomes ayant l’esprit start-up et l’envie de rejoindre une équipe jeune et dynamique. Une affinité avec l’univers food est fortement recommandée. Pour être recruté.e, voici des critères bonus :Être à l’affût des nouveaux restos et barsNe jamais refuser un morceau de babkaAimer manger mais pas que…"
Usbek & Rica,"Edition, Média",Paris,"
      
        
      
    usbeketrica.com",2010,22,33 ans,"Usbek & Rica est le média qui explore le futur. C'est un média en ligne qui, chaque jour, analyse les grands enjeux d'avenir. C'est aussi une déclinaison papier trimestrielle, un événement (le Tribunal pour les générations futures), une box cadeau (MakerBox, pour démocratiser l'accès aux fablab) et un studio créatif (qui accompagne les entreprises et institutions dans leur réflexion sur leurs enjeux d'avenir).Chez Usbek & Rica, ils recherchent des personnalités qui souhaitent rejoindre leur projet philosophique de démocratisation des savoirs. Des collaborateurs inspirés et engagés qui veulent fédérer autour des enjeux d'avenir. Le savoir être prioritaire est l'autonomie. L'équipe est très solidaire et joyeuse, et elle est un vrai soutien à des personnes autonomes et créatives dans leur travail.Be right on time baby !"
Symaps.io,"Big Data, Immobilier commercial, Intelligence artificielle / Machine Learning",Paris,"
      
        
      
    symaps.io",2016,6,200K,"Symaps.io est une application qui utilise l'intelligence artificielle pour trouver les meilleurs endroits où ouvrir son business, en fonction de sa profitabilité.Symaps.io recherche des personnes exigeante, courageuses et très ambitieuse pour révolutionner le monde de l'immobilier professionnel.Nous nous levons chaque matin pour construire un outil utile, qui soit un plaisir et un privilège à l'utilisation. Le but est d'avoir un outil qui marche partout, très performant et rapide, pour tous les business de proximité."
Wellio,"Immobilier commercial, Organisation / Management",Paris,"
      
        
      
    www.wellio.fr",2017,14,,"Wellio est la première offre d’espaces de pro-working en Europe. Le pro-working, c’est allier le meilleur du coworking (flexibilité, expérience, inspiration, liberté, communauté, échanges…) à un environnement professionnel, qui soit proactif vis-à-vis des clients. Né de l’expertise de Covivio sur le secteur du bureau et de l’hôtellerie, Wellio a pour ambition de faire bénéficier ses clients d’espaces et de services haut de gamme spécialement pensés pour eux, modulables selon leurs besoins, leurs envies de travailler, leurs enjeux business. Bureaux privés, espaces event & meeting ou coworking, l’objectif est qu’ils s’approprient ces espaces à leur disposition pour en faire la vitrine de leur expertise et de leur identité.Avec déjà 4 sites en France ouverts en moins d’un an et le projet d’en ouvrir encore 6 dans les 2 prochaines années, notamment à l’étranger, Wellio est un projet à forte ambition qui veut faire bouger les lignes des espaces de travail flexiblesChez Wellio, ils recherchent des profils : agiles, pour s'adapter aux perpétuelles évolutions du secteurengagés, pour relever les challenges que représentent une nouvelle activité collaboratifs, ils prônent l’esprit d’équipe et la co-constructionBienvenue chez les fans de bobuns et de séries en tout genre, et dont les bureaux répondent à un rangement bien personnel."
Birchbox,"Cosmétique, E-commerce",Paris,"
      
        
      
    birchbox.fr",2010,74,30 ans,"Créé aux Etats-Unis en 2010, Birchbox redéfinit les règles du shopping de la beauté online en mariant à l’expérience de la box mensuelle un accompagnement éditorialisé sur son e-shop. Aujourd'hui, Birchbox compte plus d’1 million d’abonnés et 800 marques partenaires à travers 6 pays : États-Unis, France, Espagne, Royaume Uni, Belgique et Irlande.Vous rêvez en grand ? Rejoignez Birchbox, un e-commerçant en forte croissance qui vise la première place mondiale des e-commerçants beauté, une équipe ambitieuse, pour qui l'innovation est une source inépuisable d'inspiration et de challenge.L'équipe Bircbox est à la recherche de profils agiles et pragmatiques, ayant une vraie fibre entrepreneuriale.Dans cette start-up en pleine croissance, le management est simple et laisse la part belle à l'autonomie. La bonne humeur est une des clés de la culture d'entreprise, qui se nourrit de la diversité des personnalités de l'équipe.Chez Birchbox, on chouchoute tous les caractères : Les sportifs : 2 jours de coaching / semaine et un challenge sportif par an Les gourmands : Petits-déjeuners et apéros, repas home made à partager, dégustations de vin... Les adeptes du shopping : ventes privées dédiées à la team Les voyageurs et aventuriers : week-end ski, et bien d'autres surprises ..."
Kameleoon,"Big Data, SaaS / Cloud Services","Paris, Milan, Moscou, Offenburg","
      
        
      
    www.kameleoon.com",2009,100,29 ans,"Kameleoon permet aux acteurs du web d’augmenter leur chiffre d’affaires et leurs marges en personnalisant le parcours client. Elle s’appuie sur une intelligence artificielle qui calcule en temps réel l’intention d’achat des visiteurs. Plus de 450 clients - du pure player au grand groupe - ont déjà adopté Kameleoon et en font la plateforme SaaS de personnalisation prédictive leader en Europe. « Champion de la croissance » dans le classement 2017 et 2018 des Echos, Kameleoon affiche une croissance annuelle à 3 chiffres en clients, chiffre d’affaires et effectifs.Kameleoon recherche avant tout des gens passionnés et qui n’ont pas peur de toucher à tout. Avec eux, le collaboratif n’est pas vidé de son sens : ils travaillent constamment dans la recherche de l’amélioration et la co-création, parce qu’ils ne deviennent les meilleurs que dans l’échange.Ils recherchent aussi des personnes créatives et rigoureuses, des personnalités hautes en couleurs ! C'est un secteur qui évolue constamment : il faut, à tous les postes, savoir répondre à des nouveaux besoins qui apparaissent chaque semaine.En bref, plus que le CV « parfait », Kameleoon recherche des profils où l’on ressent une vraie curiosité, et une volonté de créer, de produire et d’innover ensemble.Le projet initial de Kameleoon date de 2009 : l’idée était alors de pouvoir modifier très simplement l’apparence d’un site avec agilité et sans contraintes techniques… comme un caméléon.En clin d'œil à ce baptême fondateur, l'équipe partage ses locaux avec un vrai caméléon : Balthazar, une mascotte câlinée chaque jour, rappelle à tous le projet initial de Kameleoon au quotidien.
Vous pouvez d’ailleurs suivre ses aventures au quotidien sur Instagram. "
PROMAN,Recrutement,"Manosque, Amiens, Metz, Montigny-Le-Bretonneux, Nancy, Paris, Poissy","
      
        
      
    www.proman-emploi.fr",1990,1800,,"PROMAN est le 1er acteur 100% indépendant et familial sur le marché du travail temporaire, du recrutement CDD/CDI. Créée en 1990 à Manosque par Evelyne et Roland GOMEZ, PROMAN est avant tout une histoire de famille ! Leurs fils Roland rejoint l’entreprise après ses études ; il est aujourd'hui Directeur Général. Pour la petite anecdote, PROMAN est un clin d’œil à leur ville de cœur : les PROfessionnels de MANosque.Avec ses 380 agences dont 330 en France et 45 000 intérimaires en mission chaque jour, PROMAN atteindra les 2 Milliards d’euros de chiffre d’affaires en 2019. L’entreprise doit sa position à ses valeurs fortes : l'humain, la proximité et la réactivité. PROMAN recherche de nouveaux talents pour agrandir la famille et poursuivre l’histoire PROMAN(esque) !!! Des commerciaux, des responsables d’agences, et pleins d’autres postes sont à pourvoir !Les 1 800 collaboratrices et collaborateurs issue.e.s de 8 pays recherchent avant tout de nouveaux collègues qui partagent leur état d'esprit !Bons plans pour être recruté : avoir la pêche, être audacieux, autonome et déterminé !La PROMAN Family, c’est : Une grande famille !Des gens audacieux, curieux, dynamiques !!!Du plaisir au travail !Une structure opérationnelle réactiveTravailler l’esprit libre Des ambitions infinies !Et aussi… des évènements exceptionnels !!!!!!"
Lyde Conseil,"Mobilité, Organisation / Management, Stratégie",Issy-Les-Moulineaux,"
      
        
      
    www.lyde-conseil.com",2015,9,,"Lyde est un cabinet de conseil en management avec une double compétence opérationnelle et technique. Depuis 2015, nous accompagnons les acteurs des transports et de la mobilité, nous sécurisons leurs projets et nous leur proposons des solutions sur mesure. Persuadés que l'innovation naît de la rencontre d’expertises et d’une vision partagée, nous œuvrons au quotidien pour fluidifier les échanges entre les acteurs du secteur et construire des partenariats de long-terme basés sur la franchise et la transparence. Notre plus grande richesse réside dans la qualité de nos consultants et notre capacité à progresser collectivement. Lyde Conseil est un lieu de partage et de bienveillance où l’esprit d’initiative est encouragé et valorisé.Si tu te reconnais dans les lignes ci-dessous, pas de doutes un Lyder sommeille en toi !Tu aimes les challenges et travailler en équipe. Tu es passionné(e) par les nouvelles technologies. Tu as envie de développer les solutions de transport du futur et t’investir dans un cabinet en pleine croissanceTu parles anglais (et pourquoi pas même une troisième langue !?) Changer d’environnement et de projet plusieurs fois par semaine ne te fait pas peurLa vie chez Lyde est un savant mélange de compet’, d’entraide et de bonne humeur. Nous adopter, c’est aussi :Réveiller le grand sportif qui est en toiChoisir la bonne équipe pour gagner aux teambuildings Transformer les locaux en bar un mercredi par mois (ou plus)Ecouter Herbert Léonard « pour le plaisir »"
Bengs,"Organisation / Management, Stratégie, Transformation",Paris,"
      
        
      
    www.bengs-lab.com",2014,70,29 ans,"Bengs est une agence de conseil pour les grands groupes qui souhaitent générer plus vite de nouvelles sources de revenu et d’amélioration de leur marge.Think big, start small, scale fast ! Ils cassent les codes traditionnels du conseil en stratégie et en innovation pour faire vivre à leurs clients l’expérience d’une start-up à croissance rapide. Objectif : faire pivoter les stratégies, revisiter les modèles de performance opérationnelle, concevoir, développer et opérer des business models en rupture pour ne pas mourir demain.La start-up, fondée en 2014, possède un bureau à Paris et à New York et poursuit l’accélération de son développement à l’international.Chez Bengs, ils recherchent une combinaison de talents à la fois dans l’amélioration de la performance et du pilotage stratégique de grands groupes internationaux, le design de produit et de service, la création de nouveaux business et de start-ups. Anticonformistes, pragmatiques, et orientés résultats, les collaborateurs de Bengs sont animés par une forte culture entrepreneuriale.Chez Bengs, tous les collaborateurs s'appellent les Bees. Nous travaillons dans un hôtel particulier,
avec des bureaux aménagés en living office, nommé le Blue Shaker.Que ce soit pour travailler ou se détendre, il y a des espaces et des équipements pensés pour tous nos usages : on peut profiter du billard entre midi et deux, faire une sieste dans la boîte à rêves ou faire une réunion sur la terrasse lors des beaux jours ! Nous avons même un coiffeur star qui vient nous couper les cheveux tous les mois !Pour les plus sportifs, nous organisons des cours de Boxe et de Yoga toutes les semaines dans nos
locaux. Tu pourras également venir grossir les rangs de l'équipe de foot en salle ou des marathoniens Bengs.Pour décompresser après une semaine de travail, nous avons nos ""Friday Bubbles"" hebdomadaires où les consultants se retrouvent autour d'une coupe de champagne ! (Bières acceptées)Sinon, nous avons notre soirée trimestrielle ""La Bengs Night"" et un Séminaire annuel de 3 jours avec une destination surprise ! (Lisbonne et Budapest so far !)"
SeaBird,"Assurance, Stratégie, Transformation",Paris,"
      
        
      
    www.seabirdconseil.com",2005,180,,"SeaBird, c’est tout d’abord le nom d’un crack des courses hippiques du XXe siècle mais c’est surtout LA société de conseil des directions financières et métiers du monde de l’assurance. 
En effet, depuis plus de 10 ans, SeaBird accompagne les acteurs du secteur de l’assurance sur les fonctions finance, comptabilité, risques, actuariat et métiers (souscription et gestion des contrats,…).Situé en plein cœur de Paris, SeaBird compte 200 collaborateurs et poursuit son développement avec une croissance annuelle de 20 % sur les 5 dernières années.Avec un mode de management favorisant la prise d’autonomie, l’engagement et la responsabilisation, SeaBird s’inspire des préceptes de l’entreprise libérée  pour plus d’efficacité opérationnelle, de développement personnel et de convivialité.Chez SeaBird, pas de chemin tout tracé. Les trajectoires sont individualisées et s’organisent autour de quatre axes propices au développement de nouvelles compétences : Management, Expertise, Business, Mentoring. La trajectoire est formalisée dans un outil de projection individuel, mis à jour annuellement. Convaincu que l’entreprise, au-delà de sa fonction économique, a un rôle déterminant à jouer dans la vie de la cité, SeaBird s’est assigné une mission : mettre une partie de sa prospérité et de ses énergies pour développer des projets à impact social et environnemental.SeaBird est un acteur de référence spécialisé dans l’accompagnement des directions financières et métiers du monde de l’assurance. L’expertise de ses consultants se fonde sur la maîtrise conjointe des métiers de la comptabilité, de la gestion des risques, de l’actuariat, de la finance et des métiers de l’assurance.
SeaBird a choisi depuis ses origines de se spécialiser dans l’assurance, secteur sur lequel le cabinet a acquis un réel savoir-faire.SeaBird accorde une grande importance à l’évolution de carrière de ses collaborateurs.
C’est pourquoi SeaBird recrute des équipes de consultants de haut niveau, à même de répondre avec pertinence aux problématiques de pointe que ses clients lui soumettent et qui connaîtront de vraies évolutions professionnelles du fait de leur potentiel. Les équipes de SeaBird sont constituées exclusivement de consultants ayant obtenu un BAC +5 en finance (écoles de commerce ou d’ingénieurs, troisièmes cycles universitaires), dans les meilleurs établissements français et internationaux. Et si en plus :Vous avez une tête bien faite Vous aimez relever les challengesVous avez le sens des responsabilités Vous avez l’âme d’un intrapreneur Vous avez le sens du partage et de la convivialitéVous avez une affinité avec les métiers de la finance...Alors, vous êtes fait pour rejoindre SeaBird !Déjeuners du 27, Paddock, Super Paddock, afterworks, mondiaux sportifs : déjeuners informels, plénières, team building annuel, apéros, open de mini-golf dans les couloirs du cabinet, tout y passe chez SeaBird !"
Alenvi,"Santé, Services à la personne","Paris, Lyon","
      
        
      
    www.alenvi.io",2016,45,35 ans,"Alenvi mène la révolution collaborative dans le secteur de l’aide à domicile. Créé il y a moins de 2 ans, Alenvi regroupe 45 collaborateurs à Paris, et vient de boucler une levée de fonds de 1,1M€ auprès de fonds d’investissement à impact pour développer son innovation à l’échelle nationale et réaliser 100M€ de chiffre d’affaires dans 7 ans.Alors que les métiers de soins et d’accompagnement ont pour vocation d’accompagner humainement la vulnérabilité, ces métiers ont été dévalorisés et déshumanisés par des logiques industrielles tayloristes.Grâce à une nouvelle organisation du travail, à la technologie et à la formation, Alenvi crée un nouveau paradigme où les auxiliaires de vie sont acteurs de leur métier !L’objectif ? Créer les meilleures conditions possibles pour que les auxiliaires “d’envie” se concentrent sur l’essentiel: garantir un accompagnement stimulant et de qualité à toutes les personnes âgées.Jeune entreprise solidaire d’utilité sociale (ESUS), Alenvi souhaite générer collectivement le plus d’impacts sociaux positifs.  Alenvi est lauréate 2018 du programme Scale Up d’Antropia Essec, qui vise à accompagner pendant 9 mois des entreprises à fort impact social/environnemental, et qui souhaitent changer d’échelle.Nous recherchons des personnes authentiques, motivées, ayant envie de participer à un projet de changement de la société à grande ampleur !  Nous sommes convaincus qu’il peut avoir un impact à grande échelle sur des milliers d’auxiliaires et de personnes âgées en France. Nous mettons donc cette passion et notre envie au service du projet.Alenvi est une entreprise libérée où la bienveillance et l'envie sont des valeurs cardinales. Chez Alenvi on pense que la confiance et la responsabilisation produisent des effets bien meilleurs que le contrôle et la hiérarchie."
Cowash,"Application mobile, Services à la personne, Économie collaborative",Paris,"
      
        
      
    cowash.fr",2017,8,25 ans,"Cowash est le pressing de confiance livré à domicile 7j/7 à Paris. Le service permet à ses utilisateurs de réserver un Cowasher (particulier spécialiste du nettoyage et repassage) pour profiter de vêtements parfaitement nettoyés et repassés en moins de 48h, sans bouger de chez soi.Fondée en 2017 par Adrien, Cowash a déjà conquis plus de 10.000 utilisateurs et 600 Cowashers à travers la capitale mais également en proche banlieue. L’équipe travaille chaque jour à la sélection et à la formation de profils experts qui fournissent un travail de qualité à tous les utilisateurs, le tout à des prix très accessibles !Le service a désormais des ambitions de développement à Lyon et Lille. Cowash est également partenaire du groupe Unilever via la lessive Skip qui équipe l’ensemble des Cowashers depuis Juin 2017.Chez Cowash, ils recherchent des personnes passionnées par l’idée de faire partie d’une équipe où chacun peut proposer et mettre en place ses initiatives rapidement, apprendre des uns et des autres et profiter d’une ambiance décontractée et studieuse.La force d’initiative, l’autonomie et l’esprit d’équipe sont des compétences clés pour chaque collaborateur Cowash.En travaillant chez Cowash tu profites...De locaux sympas dans le 10ème arrondissement proche PoissonnièreDe tes chemises, t-shirts, pulls nettoyés et repassés avec amour par nos CowashersDe l'afterwork chaque dernier jeudi du mois"
Lifen,"Logiciels, Santé",Paris,"
      
        
      
    www.lifen.fr",2015,45,,"Le numérique a simplifié le quotidien de tout le monde, que ce soit dans la vie privée ou dans l’entreprise, mais pas dans le monde médical. Chez Lifen, nous partons des besoins réels des médecins et des secrétariats pour concevoir des outils qui s’insèrent naturellement dans leurs gestes du quotidien. Nous savons faire dialoguer ingénieurs et médecins pour développer des solutions simples, sûres et efficaces.Notre mission ? Digitaliser le monde de la santé ! Depuis 2015, nous facilitons l’échange des comptes rendus et des résultats d’analyse entre professionnels de santé. Sans relâche, nous sommes une équipe motivée et passionnée qui cherche à faire disparaître tout ce qui est complexe et sans valeur ajoutée afin de fluidifier le quotidien médical et permettre aux professionnels de santé de se concentrer sur ce qui est le plus important : le patient.Chez Lifen, ils valorisent beaucoup l’autonomie et la transparence pour conjuguer responsabilités et amélioration continue.L’esprit d’équipe et la bienveillance sont aussi des piliers de leur façon de travailler. Ils aiment accueillir des gens motivés pour faire bouger les lignes d’une industrie pas encore digitalisée !Chez Lifen, ils aiment aussi bien les snack healthy que les drinks et s’intéressent plus aux résultats qu’au temps passé pour y arriver."
